wd,ws,freq_val
45.0000000000,1.0000000000,0.0001368925
45.0000000000,2.0000000000,0.0003080082
45.0000000000,3.0000000000,0.0004391969
45.0000000000,4.0000000000,0.0006616473
45.0000000000,5.0000000000,0.0007700205
45.0000000000,6.0000000000,0.0008726899
45.0000000000,7.0000000000,0.0010095825
45.0000000000,8.0000000000,0.0011122519
45.0000000000,9.0000000000,0.0013175907
45.0000000000,10.0000000000,0.0010552133
45.0000000000,11.0000000000,0.0010038786
45.0000000000,12.0000000000,0.0008498745
45.0000000000,13.0000000000,0.0006844627
45.0000000000,14.0000000000,0.0004563085
45.0000000000,15.0000000000,0.0002794889
45.0000000000,16.0000000000,0.0001026694
45.0000000000,17.0000000000,0.0000399270
45.0000000000,18.0000000000,0.0000513347
45.0000000000,19.0000000000,0.0000171116
45.0000000000,20.0000000000,0.0000114077
45.0000000000,21.0000000000,0.0000000000
45.0000000000,22.0000000000,0.0000057039
45.0000000000,23.0000000000,0.0000000000
45.0000000000,24.0000000000,0.0000000000
45.0000000000,25.0000000000,0.0000000000
50.0000000000,0.0000000000,0.0000342231
50.0000000000,1.0000000000,0.0002452658
50.0000000000,2.0000000000,0.0004449008
50.0000000000,3.0000000000,0.0004677162
50.0000000000,4.0000000000,0.0006388319
50.0000000000,5.0000000000,0.0008612822
50.0000000000,6.0000000000,0.0008612822
50.0000000000,7.0000000000,0.0009525439
50.0000000000,8.0000000000,0.0009297285
50.0000000000,9.0000000000,0.0010951403
50.0000000000,10.0000000000,0.0011350673
50.0000000000,11.0000000000,0.0009981748
50.0000000000,12.0000000000,0.0008783938
50.0000000000,13.0000000000,0.0007186858
50.0000000000,14.0000000000,0.0004905316
50.0000000000,15.0000000000,0.0003536391
50.0000000000,16.0000000000,0.0001597080
50.0000000000,17.0000000000,0.0000513347
50.0000000000,18.0000000000,0.0000342231
50.0000000000,19.0000000000,0.0000285193
50.0000000000,20.0000000000,0.0000000000
50.0000000000,21.0000000000,0.0000000000
50.0000000000,22.0000000000,0.0000000000
50.0000000000,23.0000000000,0.0000000000
50.0000000000,24.0000000000,0.0000000000
50.0000000000,25.0000000000,0.0000000000
55.0000000000,0.0000000000,0.0000513347
55.0000000000,1.0000000000,0.0001996350
55.0000000000,2.0000000000,0.0003194159
55.0000000000,3.0000000000,0.0004848277
55.0000000000,4.0000000000,0.0006160164
55.0000000000,5.0000000000,0.0007928360
55.0000000000,6.0000000000,0.0008042437
55.0000000000,7.0000000000,0.0010152863
55.0000000000,8.0000000000,0.0009354324
55.0000000000,9.0000000000,0.0009411362
55.0000000000,10.0000000000,0.0009468401
55.0000000000,11.0000000000,0.0009012092
55.0000000000,12.0000000000,0.0007072781
55.0000000000,13.0000000000,0.0005989049
55.0000000000,14.0000000000,0.0004620123
55.0000000000,15.0000000000,0.0004563085
55.0000000000,16.0000000000,0.0002794889
55.0000000000,17.0000000000,0.0000912617
55.0000000000,18.0000000000,0.0000741501
55.0000000000,19.0000000000,0.0000285193
55.0000000000,20.0000000000,0.0000171116
55.0000000000,21.0000000000,0.0000114077
55.0000000000,22.0000000000,0.0000000000
55.0000000000,23.0000000000,0.0000000000
55.0000000000,24.0000000000,0.0000000000
55.0000000000,25.0000000000,0.0000000000
60.0000000000,0.0000000000,0.0000342231
60.0000000000,1.0000000000,0.0002509697
60.0000000000,2.0000000000,0.0003878622
60.0000000000,3.0000000000,0.0005361624
60.0000000000,4.0000000000,0.0006103126
60.0000000000,5.0000000000,0.0008213552
60.0000000000,6.0000000000,0.0008612822
60.0000000000,7.0000000000,0.0008441707
60.0000000000,8.0000000000,0.0010894365
60.0000000000,9.0000000000,0.0009981748
60.0000000000,10.0000000000,0.0011635866
60.0000000000,11.0000000000,0.0010209902
60.0000000000,12.0000000000,0.0009126169
60.0000000000,13.0000000000,0.0008156514
60.0000000000,14.0000000000,0.0004905316
60.0000000000,15.0000000000,0.0004563085
60.0000000000,16.0000000000,0.0002737851
60.0000000000,17.0000000000,0.0001368925
60.0000000000,18.0000000000,0.0000570386
60.0000000000,19.0000000000,0.0000228154
60.0000000000,20.0000000000,0.0000000000
60.0000000000,21.0000000000,0.0000000000
60.0000000000,22.0000000000,0.0000000000
60.0000000000,23.0000000000,0.0000000000
60.0000000000,24.0000000000,0.0000000000
60.0000000000,25.0000000000,0.0000000000
65.0000000000,0.0000000000,0.0000228154
65.0000000000,1.0000000000,0.0001996350
65.0000000000,2.0000000000,0.0002966005
